scc_index,nodes
0,a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_down_1
1,a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_up_1
2,a0:learned_agent_0__quantity_down_1|a1:learned_agent_1
3,a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__price_down_1
4,a0:learned_agent_0__quantity_down_1|a1:learned_agent_1__quantity_up_1
5,a0:learned_agent_0__quantity_down_1|a1:hist_quantile_agent_1
6,a0:learned_agent_0__quantity_down_1|a1:cost_plus_agent_1
7,a0:learned_agent_0__price_up_1|a1:learned_agent_1__quantity_down_1
8,a0:learned_agent_0__price_up_1|a1:learned_agent_1__price_up_1
9,a0:learned_agent_0__price_up_1|a1:learned_agent_1
10,a0:learned_agent_0__price_up_1|a1:learned_agent_1__price_down_1
11,a0:learned_agent_0__price_up_1|a1:learned_agent_1__quantity_up_1
12,a0:learned_agent_0__price_up_1|a1:hist_quantile_agent_1
13,a0:learned_agent_0__price_up_1|a1:cost_plus_agent_1
14,a0:learned_agent_0|a1:learned_agent_1__quantity_down_1
15,a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_down_1
16,a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_down_1
17,a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_down_1
18,a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1
19,a0:learned_agent_0|a1:learned_agent_1__price_up_1
20,a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_up_1
21,a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_up_1
22,a0:hist_quantile_agent_0|a1:learned_agent_1__price_up_1
23,a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1
24,a0:learned_agent_0|a1:learned_agent_1
25,a0:learned_agent_0|a1:learned_agent_1__price_down_1
26,a0:learned_agent_0|a1:learned_agent_1__quantity_up_1
27,a0:learned_agent_0|a1:hist_quantile_agent_1
28,a0:learned_agent_0|a1:cost_plus_agent_1
29,a0:learned_agent_0__quantity_up_1|a1:learned_agent_1
30,a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_down_1
31,a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_up_1
32,a0:learned_agent_0__quantity_up_1|a1:hist_quantile_agent_1
33,a0:learned_agent_0__quantity_up_1|a1:cost_plus_agent_1
34,a0:learned_agent_0__price_down_1|a1:learned_agent_1
35,a0:learned_agent_0__price_down_1|a1:learned_agent_1__price_down_1
36,a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_up_1
37,a0:learned_agent_0__price_down_1|a1:hist_quantile_agent_1
38,a0:learned_agent_0__price_down_1|a1:cost_plus_agent_1
39,a0:hist_quantile_agent_0|a1:learned_agent_1
40,a0:hist_quantile_agent_0|a1:learned_agent_1__price_down_1
41,a0:hist_quantile_agent_0|a1:learned_agent_1__quantity_up_1
42,a0:hist_quantile_agent_0|a1:hist_quantile_agent_1
43,a0:hist_quantile_agent_0|a1:cost_plus_agent_1
44,a0:cost_plus_agent_0|a1:learned_agent_1
45,a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1
46,a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1
47,a0:cost_plus_agent_0|a1:hist_quantile_agent_1
48,a0:cost_plus_agent_0|a1:cost_plus_agent_1
