state_key,count
"(0, 3)",5496
"(7, 0)",5128
"(6, 0)",4294
"(2, 1)",3135
"(5, 0)",3030
"(3, 1)",2887
"(1, 3)",2821
"(0, 4)",2351
"(4, 1)",2241
"(3, 2)",2129
"(2, 3)",2105
"(1, 2)",2039
"(1, 1)",1990
"(4, 2)",1934
"(2, 2)",1866
"(4, 0)",1834
"(6, 2)",1667
"(1, 4)",1612
"(0, 2)",1597
"(5, 2)",1551
"(5, 1)",1473
"(7, 2)",1217
"(3, 0)",1179
"(0, 1)",1113
"(3, 3)",1072
"(3, 4)",927
"(4, 3)",916
"(2, 4)",893
"(5, 3)",869
"(4, 4)",847
"(6, 1)",736
"(5, 4)",705
"(2, 0)",656
"(1, 0)",481
"(6, 3)",477
"(6, 4)",471
"(7, 1)",425
"(7, 4)",394
"(7, 3)",244
"(0, 0)",198
