seed,warm_start_q,episode,cumulative_reward
0,False,0,8515.759618772101
0,False,1,23420.892563193884
0,False,2,36406.063468273285
0,False,3,28070.706203030433
0,False,4,29743.347559092144
0,False,5,47666.08266239
0,False,6,57330.64367486925
0,False,7,128845.19971888777
0,False,8,117319.94622023437
0,False,9,127168.79479425662
0,False,10,115707.66363103189
0,False,11,113423.17152531497
0,False,12,107400.06067738295
0,False,13,104293.26403215488
0,False,14,101576.58295159425
0,False,15,94400.41012024936
0,False,16,99057.10566810964
0,False,17,105111.15712263873
0,False,18,102542.64067343327
0,False,19,84421.89729914741
0,False,20,65155.783639678295
0,False,21,5929.689089084299
0,False,22,4952.552719020236
0,False,23,-1895.636396927798
0,False,24,-3071.404242422891
0,False,25,-6295.714496167664
0,False,26,-9304.196314401415
0,False,27,-7411.082185814343
0,False,28,-4875.952333367393
0,False,29,-8070.965796754664
0,False,30,-5221.637221652004
0,False,31,-7279.284981878848
0,False,32,-1154.1394777574183
0,False,33,-4219.36155802268
0,False,34,-8220.899178172976
0,False,35,-8356.730048376092
0,False,36,72467.59021536216
0,False,37,108166.39924770288
0,False,38,126442.19301680739
0,False,39,128911.00972612678
0,False,40,133196.86941009306
0,False,41,130622.43820751195
0,False,42,133045.63734150352
0,False,43,131944.02205385573
0,False,44,135139.35186031339
0,False,45,140200.8060002261
0,False,46,133139.52421802192
0,False,47,144420.3049842961
0,False,48,143033.3710719131
0,False,49,146294.14076609397
0,True,0,6281.814159441071
0,True,1,17714.423877673165
0,True,2,36293.915807224555
0,True,3,29859.42153940288
0,True,4,30017.445888322047
0,True,5,47918.15927010284
0,True,6,60689.953219671384
0,True,7,130878.41708586307
0,True,8,119967.03912224651
0,True,9,127826.19088902352
0,True,10,120169.0985402614
0,True,11,111478.55232893098
0,True,12,101990.93574034079
0,True,13,99128.23385555632
0,True,14,96527.12960917113
0,True,15,92461.31229867082
0,True,16,99300.30435918865
0,True,17,110940.17471942266
0,True,18,96057.29890050503
0,True,19,79291.09195253516
0,True,20,61398.985756290625
0,True,21,5144.66014820118
0,True,22,-1213.393307429621
0,True,23,-3686.592849225101
0,True,24,-1755.7389055647195
0,True,25,-3293.360984382733
0,True,26,-12737.076762040622
0,True,27,-7036.915199118547
0,True,28,-866.1421142936724
0,True,29,-6655.612731326827
0,True,30,-583.9813164300457
0,True,31,-506.09026772661366
0,True,32,-867.5900276749293
0,True,33,-1112.7850689753716
0,True,34,-3329.3049170783484
0,True,35,-7181.754620580559
0,True,36,74684.43950580443
0,True,37,110715.4378248927
0,True,38,129230.5181452585
0,True,39,132312.4654037529
0,True,40,137558.90822457848
0,True,41,131357.38638138186
0,True,42,134766.68126604153
0,True,43,132485.34046035513
0,True,44,138849.30134945078
0,True,45,140667.89326195858
0,True,46,135851.97384162166
0,True,47,145123.09951959536
0,True,48,145285.0429106913
0,True,49,150124.09913251415
